Year,Age,AgeGr,w,Sex,COD
1926,80,80-84,5,Female,Other
1926,80,80-84,5,Male,Other
1926,85,85-89,5,Female,Other
1926,85,85-89,5,Male,Other
1926,90,90-94,5,Female,Other
1926,90,90-94,5,Male,Other
1926,95,95-99,5,Female,Other
1926,95,95-99,5,Male,Other
1926,100,100+,5,Female,Other
1926,100,100+,5,Male,Other
1927,0,<1,1,Female,Other
1927,0,<1,1,Male,Other
1927,1,1-4,4,Female,Other
1927,1,1-4,4,Male,Other
1927,5,5-9,5,Female,Other
1927,5,5-9,5,Male,Other
1927,10,10-14,5,Female,Infections
1927,10,10-14,5,Male,Other
1927,15,15-19,5,Female,Infections
1927,15,15-19,5,Male,Infections
1927,20,20-24,5,Female,Infections
1927,20,20-24,5,Male,Infections
1927,25,25-29,5,Female,Infections
1927,25,25-29,5,Male,Infections
1927,30,30-34,5,Female,Infections
1927,30,30-34,5,Male,Infections
1927,35,35-39,5,Female,Other
1927,35,35-39,5,Male,Infections
1927,40,40-44,5,Female,Other
1927,40,40-44,5,Male,Other
1927,45,45-49,5,Female,Other
1927,45,45-49,5,Male,Other
1927,50,50-54,5,Female,Other
1927,50,50-54,5,Male,Other
1927,55,55-59,5,Female,Other
1927,55,55-59,5,Male,Other
1927,60,60-64,5,Female,Other
1927,60,60-64,5,Male,Other
1927,65,65-69,5,Female,Other
1927,65,65-69,5,Male,Other
1927,70,70-74,5,Female,Other
1927,70,70-74,5,Male,Other
1927,75,75-79,5,Female,Other
1927,75,75-79,5,Male,Other
1927,80,80-84,5,Female,Other
1927,80,80-84,5,Male,Other
1927,85,85-89,5,Female,Other
1927,85,85-89,5,Male,Other
1927,90,90-94,5,Female,Other
1927,90,90-94,5,Male,Other
1927,95,95-99,5,Female,Other
1927,95,95-99,5,Male,Other
1927,100,100+,5,Female,Other
1927,100,100+,5,Male,Other
1928,0,<1,1,Female,Other
1928,0,<1,1,Male,Other
1928,1,1-4,4,Female,Other
1928,1,1-4,4,Male,Other
1928,5,5-9,5,Female,Other
1928,5,5-9,5,Male,Other
1928,10,10-14,5,Female,Infections
1928,10,10-14,5,Male,Other
1928,15,15-19,5,Female,Infections
1928,15,15-19,5,Male,Infections
1928,20,20-24,5,Female,Infections
1928,20,20-24,5,Male,Infections
1928,25,25-29,5,Female,Infections
1928,25,25-29,5,Male,Infections
1928,30,30-34,5,Female,Infections
1928,30,30-34,5,Male,Infections
1928,35,35-39,5,Female,Other
1928,35,35-39,5,Male,Infections
1928,40,40-44,5,Female,Other
1928,40,40-44,5,Male,Other
1928,45,45-49,5,Female,Other
1928,45,45-49,5,Male,Other
1928,50,50-54,5,Female,Other
1928,50,50-54,5,Male,Other
1928,55,55-59,5,Female,Other
1928,55,55-59,5,Male,Other
1928,60,60-64,5,Female,Other
1928,60,60-64,5,Male,Other
1928,65,65-69,5,Female,Other
1928,65,65-69,5,Male,Other
1928,70,70-74,5,Female,Other
1928,70,70-74,5,Male,Other
1928,75,75-79,5,Female,Other
1928,75,75-79,5,Male,Other
1928,80,80-84,5,Female,Other
1928,80,80-84,5,Male,Other
1928,85,85-89,5,Female,Other
1928,85,85-89,5,Male,Other
1928,90,90-94,5,Female,Other
1928,90,90-94,5,Male,Other
1928,95,95-99,5,Female,Other
1928,95,95-99,5,Male,Other
1928,100,100+,5,Female,Other
1928,100,100+,5,Male,Other
1929,0,<1,1,Female,Other
1929,0,<1,1,Male,Other
1929,1,1-4,4,Female,Other
1929,1,1-4,4,Male,Other
1929,5,5-9,5,Female,Other
1929,5,5-9,5,Male,Other
1929,10,10-14,5,Female,Other
1929,10,10-14,5,Male,Other
1929,15,15-19,5,Female,Infections
1929,15,15-19,5,Male,Infections
1929,20,20-24,5,Female,Infections
1929,20,20-24,5,Male,Infections
1929,25,25-29,5,Female,Infections
1929,25,25-29,5,Male,Infections
1929,30,30-34,5,Female,Infections
1929,30,30-34,5,Male,Infections
1929,35,35-39,5,Female,Other
1929,35,35-39,5,Male,Infections
1929,40,40-44,5,Female,Other
1929,40,40-44,5,Male,Other
1929,45,45-49,5,Female,Other
1929,45,45-49,5,Male,Other
1929,50,50-54,5,Female,Other
1929,50,50-54,5,Male,Other
1929,55,55-59,5,Female,Other
1929,55,55-59,5,Male,Other
1929,60,60-64,5,Female,Other
1929,60,60-64,5,Male,Other
1929,65,65-69,5,Female,Other
1929,65,65-69,5,Male,Other
1929,70,70-74,5,Female,Other
1929,70,70-74,5,Male,Other
1929,75,75-79,5,Female,Other
1929,75,75-79,5,Male,Other
1929,80,80-84,5,Female,Other
1929,80,80-84,5,Male,Other
1929,85,85-89,5,Female,Other
1929,85,85-89,5,Male,Other
1929,90,90-94,5,Female,Other
1929,90,90-94,5,Male,Other
1929,95,95-99,5,Female,Other
1929,95,95-99,5,Male,Other
1929,100,100+,5,Female,Other
1929,100,100+,5,Male,Other
1930,0,<1,1,Female,Other
1930,0,<1,1,Male,Other
1930,1,1-4,4,Female,Other
1930,1,1-4,4,Male,Other
1930,5,5-9,5,Female,Other
1930,5,5-9,5,Male,Other
1930,10,10-14,5,Female,Infections
1930,10,10-14,5,Male,Other
1930,15,15-19,5,Female,Infections
1930,15,15-19,5,Male,Infections
1930,20,20-24,5,Female,Infections
1930,20,20-24,5,Male,Infections
1930,25,25-29,5,Female,Infections
1930,25,25-29,5,Male,Infections
1930,30,30-34,5,Female,Infections
1930,30,30-34,5,Male,Infections
1930,35,35-39,5,Female,Other
1930,35,35-39,5,Male,Infections
1930,40,40-44,5,Female,Other
1930,40,40-44,5,Male,Other
1930,45,45-49,5,Female,Other
1930,45,45-49,5,Male,Other
1930,50,50-54,5,Female,Other
1930,50,50-54,5,Male,Other
1930,55,55-59,5,Female,Other
1930,55,55-59,5,Male,Other
1930,60,60-64,5,Female,Other
1930,60,60-64,5,Male,Other
1930,65,65-69,5,Female,Other
1930,65,65-69,5,Male,Other
1930,70,70-74,5,Female,Other
1930,70,70-74,5,Male,Other
1930,75,75-79,5,Female,Other
1930,75,75-79,5,Male,Other
1930,80,80-84,5,Female,Other
1930,80,80-84,5,Male,Other
1930,85,85-89,5,Female,Other
1930,85,85-89,5,Male,Other
1930,90,90-94,5,Female,Other
1930,90,90-94,5,Male,Other
1930,95,95-99,5,Female,Other
1930,95,95-99,5,Male,Other
1930,100,100+,5,Female,Other
1930,100,100+,5,Male,Other
1931,0,<1,1,Female,Other
1931,0,<1,1,Male,Other
1931,1,1-4,4,Female,Other
1931,1,1-4,4,Male,Other
1931,5,5-9,5,Female,Other
1931,5,5-9,5,Male,Other
1931,10,10-14,5,Female,Other
1931,10,10-14,5,Male,Other
1931,15,15-19,5,Female,Infections
1931,15,15-19,5,Male,Infections
1931,20,20-24,5,Female,Infections
1931,20,20-24,5,Male,Infections
1931,25,25-29,5,Female,Infections
1931,25,25-29,5,Male,Infections
1931,30,30-34,5,Female,Infections
1931,30,30-34,5,Male,Infections
1931,35,35-39,5,Female,Other
1931,35,35-39,5,Male,Infections
1931,40,40-44,5,Female,Other
1931,40,40-44,5,Male,Other
1931,45,45-49,5,Female,Other
1931,45,45-49,5,Male,Other
1931,50,50-54,5,Female,Other
1931,50,50-54,5,Male,Other
1931,55,55-59,5,Female,Other
1931,55,55-59,5,Male,Other
1931,60,60-64,5,Female,Other
1931,60,60-64,5,Male,Other
1931,65,65-69,5,Female,Other
1931,65,65-69,5,Male,Other
1931,70,70-74,5,Female,Other
1931,70,70-74,5,Male,Other
1931,75,75-79,5,Female,Other
1931,75,75-79,5,Male,Other
1931,80,80-84,5,Female,Other
1931,80,80-84,5,Male,Other
1931,85,85-89,5,Female,Other
1931,85,85-89,5,Male,Other
1931,90,90-94,5,Female,Other
1931,90,90-94,5,Male,Other
1931,95,95-99,5,Female,Other
1931,95,95-99,5,Male,Other
1931,100,100+,5,Female,Other
1931,100,100+,5,Male,Other
1932,0,<1,1,Female,Other
1932,0,<1,1,Male,Other
1932,1,1-4,4,Female,Other
1932,1,1-4,4,Male,Other
1932,5,5-9,5,Female,Other
1932,5,5-9,5,Male,Other
1932,10,10-14,5,Female,Other
1932,10,10-14,5,Male,Other
1932,15,15-19,5,Female,Infections
1932,15,15-19,5,Male,Infections
1932,20,20-24,5,Female,Infections
1932,20,20-24,5,Male,Infections
1932,25,25-29,5,Female,Infections
1932,25,25-29,5,Male,Infections
1932,30,30-34,5,Female,Infections
1932,30,30-34,5,Male,Infections
1932,35,35-39,5,Female,Other
1932,35,35-39,5,Male,Infections
1932,40,40-44,5,Female,Other
1932,40,40-44,5,Male,Other
1932,45,45-49,5,Female,Other
1932,45,45-49,5,Male,Other
1932,50,50-54,5,Female,Other
1932,50,50-54,5,Male,Other
1932,55,55-59,5,Female,Other
1932,55,55-59,5,Male,Other
1932,60,60-64,5,Female,Other
1932,60,60-64,5,Male,Other
1932,65,65-69,5,Female,Other
1932,65,65-69,5,Male,Other
1932,70,70-74,5,Female,Other
1932,70,70-74,5,Male,Other
1932,75,75-79,5,Female,Other
1932,75,75-79,5,Male,Other
1932,80,80-84,5,Female,Other
1932,80,80-84,5,Male,Other
1932,85,85-89,5,Female,Other
1932,85,85-89,5,Male,Other
1932,90,90-94,5,Female,Other
1932,90,90-94,5,Male,Other
1932,95,95-99,5,Female,Other
1932,95,95-99,5,Male,Other
1932,100,100+,5,Female,Other
1932,100,100+,5,Male,Other
1933,0,<1,1,Female,Other
1933,0,<1,1,Male,Other
1933,1,1-4,4,Female,Other
1933,1,1-4,4,Male,Other
1933,5,5-9,5,Female,Other
1933,5,5-9,5,Male,Other
1933,10,10-14,5,Female,Other
1933,10,10-14,5,Male,Other
1933,15,15-19,5,Female,Infections
1933,15,15-19,5,Male,Infections
1933,20,20-24,5,Female,Infections
1933,20,20-24,5,Male,Infections
1933,25,25-29,5,Female,Infections
1933,25,25-29,5,Male,Infections
1933,30,30-34,5,Female,Other
1933,30,30-34,5,Male,Infections
1933,35,35-39,5,Female,Other
1933,35,35-39,5,Male,Other
1933,40,40-44,5,Female,Other
1933,40,40-44,5,Male,Other
1933,45,45-49,5,Female,Other
1933,45,45-49,5,Male,Other
1933,50,50-54,5,Female,Other
1933,50,50-54,5,Male,Other
1933,55,55-59,5,Female,Other
1933,55,55-59,5,Male,Other
1933,60,60-64,5,Female,Other
1933,60,60-64,5,Male,Other
1933,65,65-69,5,Female,Other
1933,65,65-69,5,Male,Other
1933,70,70-74,5,Female,Other
1933,70,70-74,5,Male,Other
1933,75,75-79,5,Female,Other
1933,75,75-79,5,Male,Other
1933,80,80-84,5,Female,Other
1933,80,80-84,5,Male,Other
1933,85,85-89,5,Female,Other
1933,85,85-89,5,Male,Other
1933,90,90-94,5,Female,Other
1933,90,90-94,5,Male,Other
1933,95,95-99,5,Female,Other
1933,95,95-99,5,Male,Other
1933,100,100+,5,Female,Other
1933,100,100+,5,Male,Other
1934,0,<1,1,Female,Other
1934,0,<1,1,Male,Other
1934,1,1-4,4,Female,Other
1934,1,1-4,4,Male,Other
1934,5,5-9,5,Female,Other
1934,5,5-9,5,Male,Other
1934,10,10-14,5,Female,Other
1934,10,10-14,5,Male,Other
1934,15,15-19,5,Female,Infections
1934,15,15-19,5,Male,Infections
1934,20,20-24,5,Female,Infections
1934,20,20-24,5,Male,Infections
1934,25,25-29,5,Female,Infections
1934,25,25-29,5,Male,Infections
1934,30,30-34,5,Female,Other
1934,30,30-34,5,Male,Infections
1934,35,35-39,5,Female,Other
1934,35,35-39,5,Male,Other
1934,40,40-44,5,Female,Other
1934,40,40-44,5,Male,Other
1934,45,45-49,5,Female,Other
1934,45,45-49,5,Male,Other
1934,50,50-54,5,Female,Other
1934,50,50-54,5,Male,Other
1934,55,55-59,5,Female,Other
1934,55,55-59,5,Male,Other
1934,60,60-64,5,Female,Other
1934,60,60-64,5,Male,Other
1934,65,65-69,5,Female,Other
1934,65,65-69,5,Male,Other
1934,70,70-74,5,Female,Other
1934,70,70-74,5,Male,Other
1934,75,75-79,5,Female,Other
1934,75,75-79,5,Male,Other
1934,80,80-84,5,Female,Other
1934,80,80-84,5,Male,Other
1934,85,85-89,5,Female,Other
1934,85,85-89,5,Male,Other
1934,90,90-94,5,Female,Other
1934,90,90-94,5,Male,Other
1934,95,95-99,5,Female,Other
1934,95,95-99,5,Male,Other
1934,100,100+,5,Female,Other
1934,100,100+,5,Male,Other
1935,0,<1,1,Female,Other
1935,0,<1,1,Male,Other
1935,1,1-4,4,Female,Other
1935,1,1-4,4,Male,Other
1935,5,5-9,5,Female,Other
1935,5,5-9,5,Male,Other
1935,10,10-14,5,Female,Other
1935,10,10-14,5,Male,Other
1935,15,15-19,5,Female,Infections
1935,15,15-19,5,Male,Other
1935,20,20-24,5,Female,Infections
1935,20,20-24,5,Male,Infections
1935,25,25-29,5,Female,Infections
1935,25,25-29,5,Male,Infections
1935,30,30-34,5,Female,Other
1935,30,30-34,5,Male,Infections
1935,35,35-39,5,Female,Other
1935,35,35-39,5,Male,Other
1935,40,40-44,5,Female,Other
1935,40,40-44,5,Male,Other
1935,45,45-49,5,Female,Other
1935,45,45-49,5,Male,Other
1935,50,50-54,5,Female,Other
1935,50,50-54,5,Male,Other
1935,55,55-59,5,Female,Other
1935,55,55-59,5,Male,Other
1935,60,60-64,5,Female,Other
1935,60,60-64,5,Male,Other
1935,65,65-69,5,Female,Other
1935,65,65-69,5,Male,Other
1935,70,70-74,5,Female,Other
1935,70,70-74,5,Male,Other
1935,75,75-79,5,Female,Other
1935,75,75-79,5,Male,Other
1935,80,80-84,5,Female,Other
1935,80,80-84,5,Male,Other
1935,85,85-89,5,Female,Other
1935,85,85-89,5,Male,Other
1935,90,90-94,5,Female,Other
1935,90,90-94,5,Male,Other
1935,95,95-99,5,Female,Other
1935,95,95-99,5,Male,Other
1935,100,100+,5,Female,Other
1935,100,100+,5,Male,Other
1936,0,<1,1,Female,Other
1936,0,<1,1,Male,Other
1936,1,1-4,4,Female,Other
1936,1,1-4,4,Male,Other
1936,5,5-9,5,Female,Other
1936,5,5-9,5,Male,Other
1936,10,10-14,5,Female,Other
1936,10,10-14,5,Male,Other
1936,15,15-19,5,Female,Infections
1936,15,15-19,5,Male,Other
1936,20,20-24,5,Female,Infections
1936,20,20-24,5,Male,Infections
1936,25,25-29,5,Female,Infections
1936,25,25-29,5,Male,Infections
1936,30,30-34,5,Female,Other
1936,30,30-34,5,Male,Infections
1936,35,35-39,5,Female,Other
1936,35,35-39,5,Male,Other
1936,40,40-44,5,Female,Other
1936,40,40-44,5,Male,Other
1936,45,45-49,5,Female,Other
1936,45,45-49,5,Male,Other
1936,50,50-54,5,Female,Other
1936,50,50-54,5,Male,Other
1936,55,55-59,5,Female,Other
1936,55,55-59,5,Male,Other
1936,60,60-64,5,Female,Other
1936,60,60-64,5,Male,Other
1936,65,65-69,5,Female,Other
1936,65,65-69,5,Male,Other
1936,70,70-74,5,Female,Other
1936,70,70-74,5,Male,Other
1936,75,75-79,5,Female,Other
1936,75,75-79,5,Male,Other
1936,80,80-84,5,Female,Other
1936,80,80-84,5,Male,Other
1936,85,85-89,5,Female,Other
1936,85,85-89,5,Male,Other
1936,90,90-94,5,Female,Other
1936,90,90-94,5,Male,Other
1936,95,95-99,5,Female,Other
1936,95,95-99,5,Male,Other
1936,100,100+,5,Female,Other
1936,100,100+,5,Male,Other
1937,0,<1,1,Female,Other
1937,0,<1,1,Male,Other
1937,1,1-4,4,Female,Other
1937,1,1-4,4,Male,Other
1937,5,5-9,5,Female,Other
1937,5,5-9,5,Male,Other
1937,10,10-14,5,Female,Other
1937,10,10-14,5,Male,Other
1937,15,15-19,5,Female,Infections
1937,15,15-19,5,Male,Infections
1937,20,20-24,5,Female,Infections
1937,20,20-24,5,Male,Infections
1937,25,25-29,5,Female,Infections
1937,25,25-29,5,Male,Infections
1937,30,30-34,5,Female,Other
1937,30,30-34,5,Male,Infections
1937,35,35-39,5,Female,Other
1937,35,35-39,5,Male,Infections
1937,40,40-44,5,Female,Other
1937,40,40-44,5,Male,Other
1937,45,45-49,5,Female,Other
1937,45,45-49,5,Male,Other
1937,50,50-54,5,Female,Other
1937,50,50-54,5,Male,Other
1937,55,55-59,5,Female,Other
1937,55,55-59,5,Male,Other
1937,60,60-64,5,Female,Other
1937,60,60-64,5,Male,Other
1937,65,65-69,5,Female,Other
1937,65,65-69,5,Male,Other
1937,70,70-74,5,Female,Other
1937,70,70-74,5,Male,Other
1937,75,75-79,5,Female,Other
1937,75,75-79,5,Male,Other
1937,80,80-84,5,Female,Other
1937,80,80-84,5,Male,Other
1937,85,85-89,5,Female,Other
1937,85,85-89,5,Male,Other
1937,90,90-94,5,Female,Other
1937,90,90-94,5,Male,Other
1937,95,95-99,5,Female,Other
1937,95,95-99,5,Male,Other
1937,100,100+,5,Female,Other
1937,100,100+,5,Male,Other
1938,0,<1,1,Female,Other
1938,0,<1,1,Male,Other
1938,1,1-4,4,Female,Other
1938,1,1-4,4,Male,Other
1938,5,5-9,5,Female,Other
1938,5,5-9,5,Male,Other
1938,10,10-14,5,Female,Other
1938,10,10-14,5,Male,Other
1938,15,15-19,5,Female,Infections
1938,15,15-19,5,Male,Infections
1938,20,20-24,5,Female,Infections
1938,20,20-24,5,Male,Infections
1938,25,25-29,5,Female,Infections
1938,25,25-29,5,Male,Infections
1938,30,30-34,5,Female,Other
1938,30,30-34,5,Male,Infections
1938,35,35-39,5,Female,Other
1938,35,35-39,5,Male,Infections
1938,40,40-44,5,Female,Other
1938,40,40-44,5,Male,Other
1938,45,45-49,5,Female,Other
1938,45,45-49,5,Male,Other
1938,50,50-54,5,Female,Other
1938,50,50-54,5,Male,Other
1938,55,55-59,5,Female,Other
1938,55,55-59,5,Male,Other
1938,60,60-64,5,Female,Other
1938,60,60-64,5,Male,Other
1938,65,65-69,5,Female,Other
1938,65,65-69,5,Male,Other
1938,70,70-74,5,Female,Other
1938,70,70-74,5,Male,Other
1938,75,75-79,5,Female,Other
1938,75,75-79,5,Male,Other
1938,80,80-84,5,Female,Other
1938,80,80-84,5,Male,Other
1938,85,85-89,5,Female,Other
1938,85,85-89,5,Male,Other
1938,90,90-94,5,Female,Other
1938,90,90-94,5,Male,Other
1938,95,95-99,5,Female,Other
1938,95,95-99,5,Male,Other
1938,100,100+,5,Female,Other
1938,100,100+,5,Male,Other
1939,0,<1,1,Female,Other
1939,0,<1,1,Male,Other
1939,1,1-4,4,Female,Other
1939,1,1-4,4,Male,Other
1939,5,5-9,5,Female,Other
1939,5,5-9,5,Male,Other
1939,10,10-14,5,Female,Other
1939,10,10-14,5,Male,Other
1939,15,15-19,5,Female,Infections
1939,15,15-19,5,Male,Infections
1939,20,20-24,5,Female,Infections
1939,20,20-24,5,Male,Infections
1939,25,25-29,5,Female,Infections
1939,25,25-29,5,Male,Infections
1939,30,30-34,5,Female,Infections
1939,30,30-34,5,Male,Infections
1939,35,35-39,5,Female,Other
1939,35,35-39,5,Male,Infections
1939,40,40-44,5,Female,Other
1939,40,40-44,5,Male,Other
1939,45,45-49,5,Female,Other
1939,45,45-49,5,Male,Other
1939,50,50-54,5,Female,Other
1939,50,50-54,5,Male,Other
1939,55,55-59,5,Female,Other
1939,55,55-59,5,Male,Other
1939,60,60-64,5,Female,Other
1939,60,60-64,5,Male,Other
1939,65,65-69,5,Female,Other
1939,65,65-69,5,Male,Other
1939,70,70-74,5,Female,Other
1939,70,70-74,5,Male,Other
1939,75,75-79,5,Female,Other
1939,75,75-79,5,Male,Other
1939,80,80-84,5,Female,Other
1939,80,80-84,5,Male,Other
1939,85,85-89,5,Female,Other
1939,85,85-89,5,Male,Other
1939,90,90-94,5,Female,Other
1939,90,90-94,5,Male,Other
1939,95,95-99,5,Female,Other
1939,95,95-99,5,Male,Other
1939,100,100+,5,Female,Other
1939,100,100+,5,Male,Other
1940,0,<1,1,Female,Other
1940,0,<1,1,Male,Other
1940,1,1-4,4,Female,Other
1940,1,1-4,4,Male,Other
1940,5,5-9,5,Female,Other
1940,5,5-9,5,Male,Other
1940,10,10-14,5,Female,Other
1940,10,10-14,5,Male,Other
1940,15,15-19,5,Female,Infections
1940,15,15-19,5,Male,External
1940,20,20-24,5,Female,Infections
1940,20,20-24,5,Male,Infections
1940,25,25-29,5,Female,Infections
1940,25,25-29,5,Male,Infections
1940,30,30-34,5,Female,Infections
1940,30,30-34,5,Male,Infections
1940,35,35-39,5,Female,Other
1940,35,35-39,5,Male,Infections
1940,40,40-44,5,Female,Other
1940,40,40-44,5,Male,Other
1940,45,45-49,5,Female,Other
1940,45,45-49,5,Male,Other
1940,50,50-54,5,Female,Other
1940,50,50-54,5,Male,Other
1940,55,55-59,5,Female,Other
1940,55,55-59,5,Male,Other
1940,60,60-64,5,Female,Other
1940,60,60-64,5,Male,Other
1940,65,65-69,5,Female,Other
1940,65,65-69,5,Male,Other
1940,70,70-74,5,Female,Other
1940,70,70-74,5,Male,Other
1940,75,75-79,5,Female,Other
1940,75,75-79,5,Male,Other
1940,80,80-84,5,Female,Other
1940,80,80-84,5,Male,Other
1940,85,85-89,5,Female,Other
1940,85,85-89,5,Male,Other
1940,90,90-94,5,Female,Other
1940,90,90-94,5,Male,Other
1940,95,95-99,5,Female,Other
1940,95,95-99,5,Male,Other
1940,100,100+,5,Female,Other
1940,100,100+,5,Male,Other
1941,0,<1,1,Female,Other
1941,0,<1,1,Male,Other
1941,1,1-4,4,Female,Other
1941,1,1-4,4,Male,Other
1941,5,5-9,5,Female,Other
1941,5,5-9,5,Male,Other
1941,10,10-14,5,Female,Infections
1941,10,10-14,5,Male,Other
1941,15,15-19,5,Female,Infections
1941,15,15-19,5,Male,Infections
1941,20,20-24,5,Female,Infections
1941,20,20-24,5,Male,Infections
1941,25,25-29,5,Female,Infections
1941,25,25-29,5,Male,Infections
1941,30,30-34,5,Female,Infections
1941,30,30-34,5,Male,Infections
1941,35,35-39,5,Female,Other
1941,35,35-39,5,Male,Infections
1941,40,40-44,5,Female,Other
1941,40,40-44,5,Male,Other
1941,45,45-49,5,Female,Other
1941,45,45-49,5,Male,Other
1941,50,50-54,5,Female,Other
1941,50,50-54,5,Male,Other
1941,55,55-59,5,Female,Other
1941,55,55-59,5,Male,Other
1941,60,60-64,5,Female,Other
1941,60,60-64,5,Male,Other
1941,65,65-69,5,Female,Circulatory diseases
1941,65,65-69,5,Male,Other
1941,70,70-74,5,Female,Other
1941,70,70-74,5,Male,Other
1941,75,75-79,5,Female,Other
1941,75,75-79,5,Male,Other
1941,80,80-84,5,Female,Other
1941,80,80-84,5,Male,Other
1941,85,85-89,5,Female,Other
1941,85,85-89,5,Male,Other
1941,90,90-94,5,Female,Other
1941,90,90-94,5,Male,Other
1941,95,95-99,5,Female,Other
1941,95,95-99,5,Male,Other
1941,100,100+,5,Female,Other
1941,100,100+,5,Male,Other
1942,0,<1,1,Female,Other
1942,0,<1,1,Male,Other
1942,1,1-4,4,Female,Other
1942,1,1-4,4,Male,Other
1942,5,5-9,5,Female,Infections
1942,5,5-9,5,Male,Other
1942,10,10-14,5,Female,Infections
1942,10,10-14,5,Male,Other
1942,15,15-19,5,Female,Infections
1942,15,15-19,5,Male,Infections
1942,20,20-24,5,Female,Infections
1942,20,20-24,5,Male,Infections
1942,25,25-29,5,Female,Infections
1942,25,25-29,5,Male,Infections
1942,30,30-34,5,Female,Infections
1942,30,30-34,5,Male,Infections
1942,35,35-39,5,Female,Other
1942,35,35-39,5,Male,Infections
1942,40,40-44,5,Female,Other
1942,40,40-44,5,Male,Infections
1942,45,45-49,5,Female,Other
1942,45,45-49,5,Male,Other
1942,50,50-54,5,Female,Other
1942,50,50-54,5,Male,Other
1942,55,55-59,5,Female,Other
1942,55,55-59,5,Male,Other
1942,60,60-64,5,Female,Other
1942,60,60-64,5,Male,Other
1942,65,65-69,5,Female,Circulatory diseases
1942,65,65-69,5,Male,Other
1942,70,70-74,5,Female,Other
1942,70,70-74,5,Male,Other
1942,75,75-79,5,Female,Other
1942,75,75-79,5,Male,Other
1942,80,80-84,5,Female,Other
1942,80,80-84,5,Male,Other
1942,85,85-89,5,Female,Other
1942,85,85-89,5,Male,Other
1942,90,90-94,5,Female,Other
1942,90,90-94,5,Male,Other
1942,95,95-99,5,Female,Other
1942,95,95-99,5,Male,Other
1942,100,100+,5,Female,Other
1942,100,100+,5,Male,Other
1943,0,<1,1,Female,Other
1943,0,<1,1,Male,Other
1943,1,1-4,4,Female,Other
1943,1,1-4,4,Male,Other
1943,5,5-9,5,Female,Other
1943,5,5-9,5,Male,Other
1943,10,10-14,5,Female,Infections
1943,10,10-14,5,Male,Other
1943,15,15-19,5,Female,Infections
1943,15,15-19,5,Male,Infections
1943,20,20-24,5,Female,Infections
1943,20,20-24,5,Male,Infections
1943,25,25-29,5,Female,Infections
1943,25,25-29,5,Male,Infections
1943,30,30-34,5,Female,Infections
1943,30,30-34,5,Male,Infections
1943,35,35-39,5,Female,Infections
1943,35,35-39,5,Male,Infections
1943,40,40-44,5,Female,Other
1943,40,40-44,5,Male,Infections
1943,45,45-49,5,Female,Other
1943,45,45-49,5,Male,Other
1943,50,50-54,5,Female,Other
